x,y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label
-10.720527,72.44458,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,South Hempstead
62.09559,-75.4903,0,1,2,1,3,1,1,2,0,5,0,11,11,12,12,Latin music
-77.62585,24.624731,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,the political world
-75.14096,26.106178,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,Canadian politics
-12.632223,101.306496,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,states
41.813328,31.999931,0,1,2,1,2,2,2,3,5,0,0,11,12,12,12,the Zulus
28.593853,8.229374,0,1,2,1,4,3,4,1,4,7,4,5,5,7,7,his age
7.385092,-16.697271,0,1,2,1,4,4,4,6,7,0,7,5,0,7,7,the idiom
-17.702621,-46.429195,0,1,1,1,4,4,5,0,3,4,1,1,1,1,7,the online Sims world
48.236557,-26.232975,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,salsa
-59.02423,25.54747,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,postwar American planning
51.816605,-66.34425,0,1,2,1,3,1,1,2,0,5,0,11,11,12,12,rock bands
-53.378815,39.520557,0,0,1,2,0,5,6,5,1,1,6,4,6,0,0,city food politics
22.61134,10.757985,0,1,2,1,4,4,4,6,7,0,7,5,12,7,7,Katmandu
-43.80916,5.2491546,0,1,1,2,0,4,6,5,1,0,1,6,12,5,5,the Bengalis
-19.97764,-62.096756,0,1,1,1,3,4,4,2,3,4,1,5,0,4,4,British psychoanalysis
-53.746502,-62.880577,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the 1990s generation
39.492176,-28.972126,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,Champagne
-51.361176,93.28079,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Russia
-56.500965,89.51441,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Brazil
27.904858,-71.91728,0,0,0,1,3,1,1,7,6,5,9,8,8,3,3,Broadway
-26.94975,18.688585,0,1,1,2,0,5,6,5,1,0,1,5,0,5,5,the group
-74.30915,17.508257,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,geopolitics
-79.77566,9.613908,0,1,1,2,0,5,6,5,1,9,8,4,1,5,5,capitalism
-1.9173582,-73.66417,0,1,1,1,3,1,1,2,3,5,3,10,10,1,1,Bollywood
-3.8948011,52.35976,0,1,2,1,3,4,4,7,6,2,9,5,0,7,3,the club
-57.999264,34.473984,0,0,1,2,0,5,6,5,1,1,6,4,4,0,0,Sunshine State politics
26.190027,33.751537,0,1,2,1,4,4,4,6,7,4,7,5,0,7,7,space
-45.51773,99.333244,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Newfoundland
-49.426735,24.66267,0,1,1,2,0,5,5,5,8,0,8,1,12,5,5,Medicaid billers
91.85197,3.7032545,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,Horse Racing
45.414585,0.81920195,0,1,2,1,4,4,4,6,7,0,7,6,12,7,7,ribbons
74.85685,-86.2993,0,1,2,1,3,1,1,2,0,5,0,11,11,12,12,baritones
26.438831,-12.634054,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,unpleasant aromas
11.061926,-8.928143,0,1,2,1,4,4,4,6,7,0,7,5,12,7,7,something
-90.13365,19.316765,0,1,2,1,0,3,6,5,1,1,6,5,4,7,7,this campaign
-1.6030824,41.505707,0,1,1,2,4,5,5,0,8,9,8,1,1,6,6,the restaurant world
-85.20443,-22.192532,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the 1720s
84.422134,36.714104,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,womens basketball
83.80175,41.662792,0,1,2,0,2,2,2,3,5,6,10,9,9,11,11,baseball
-14.537599,34.714756,0,0,0,2,1,0,0,7,6,2,1,5,0,5,5,the school
-64.11365,-39.822346,0,1,2,1,4,3,3,1,4,7,4,5,5,7,7,her time
61.548714,-35.590538,0,1,1,1,4,4,4,6,7,3,5,7,7,7,7,bed books and apparel for children
-8.295987,-18.858513,0,1,1,2,0,5,6,5,1,1,8,4,4,5,5,the public health community
90.45538,-1.9169868,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,Nascar tracks
84.08559,12.612682,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,bull riding
20.20538,-28.89649,0,1,1,1,4,1,1,2,0,3,5,7,7,8,8,fashion
71.1888,33.11888,0,0,2,0,2,2,2,3,5,6,10,3,3,11,11,countryclub golf
-85.078735,28.013092,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,political candidates
22.422222,61.80036,0,1,1,2,4,4,4,6,7,4,7,6,6,13,13,organic gardening
7.9776044,-98.36374,0,1,1,1,4,1,1,2,0,3,5,7,7,8,8,environmental art
54.235294,-35.82707,0,1,2,1,4,4,4,6,7,0,5,6,12,13,7,childrens toys
-81.71648,28.118923,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,national retail politics
29.73849,3.1728048,0,1,2,1,4,4,4,6,7,0,7,5,12,7,7,custom boots
-6.8190913,65.797844,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Silicon Valley
-105.62511,-37.342182,0,1,2,1,3,3,3,1,4,7,4,0,5,10,10,2006
-10.0938225,-44.141785,0,1,2,1,4,4,4,6,7,4,7,5,0,7,7,the keyboard
-16.2447,38.406277,0,1,1,1,3,4,4,6,3,4,1,5,0,4,4,the classroom
-28.483223,95.94013,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,the West
71.913994,58.564217,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,coaches
57.148697,57.386036,0,1,2,0,2,2,2,3,5,6,10,9,9,11,11,Brazilian basketball for the past 20 years
-35.145405,15.754514,0,1,1,2,0,5,6,5,8,1,8,4,4,5,5,relief agencies
-60.527092,1.0818918,0,1,1,2,0,5,6,5,1,1,6,4,4,5,5,the movement against samesex marriage
14.810487,-79.67614,0,1,1,1,3,1,1,2,3,5,3,10,10,1,1,digital media
-72.26031,4.3187327,0,1,1,2,0,5,6,5,1,1,6,4,4,5,5,wars
69.302605,57.44208,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,college coaches
-16.423058,82.65656,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,New York
8.379257,-101.178,0,1,1,1,3,1,1,2,0,3,5,7,7,8,8,the visual arts
21.627129,-4.6293073,0,1,2,1,4,4,4,6,7,0,7,5,12,7,7,forwards
-24.54474,69.24974,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,boroughs
75.297035,-26.951965,0,1,1,1,3,4,4,6,7,0,1,5,0,7,7,the edgy set
75.279785,-9.808424,0,1,2,1,4,4,5,0,8,3,8,1,1,8,7,welding
26.981949,1.8075817,0,1,2,2,4,4,4,6,7,0,7,5,12,7,7,2176
2.7355855,24.571188,0,1,2,2,4,4,5,0,8,9,8,6,12,6,6,lunch box collectors
-13.454313,-63.74576,0,1,1,1,3,1,1,2,3,4,1,5,0,4,4,the Romantic novel set
-79.26489,-37.70856,0,1,2,1,3,3,3,1,4,7,4,0,5,10,10,vintage
46.639503,40.79301,0,1,2,0,2,2,4,6,7,0,7,9,9,9,9,the Knicks Disease of Me
72.16771,57.77085,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,coaching
-26.09956,79.80776,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Cardiff
30.145998,-74.68385,0,1,1,1,3,1,1,2,0,5,0,11,11,3,12,the carefully choreographed event that consumes Midtown Manhattan with tin whistles step dancers and some two million spectators on that invariably brisk March 17 morning
29.583328,8.20094,0,1,2,1,4,4,4,6,7,0,7,5,12,7,7,a man
-32.688576,74.23964,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Moscow
23.780804,5.341302,0,1,2,1,4,4,4,6,7,0,7,9,12,9,7,Mayberry
39.001385,-86.39894,0,1,2,1,3,1,1,2,0,5,0,11,11,12,12,opera
78.89649,26.748188,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,her sport
-30.149181,-49.440346,0,1,1,2,3,1,6,2,3,4,1,10,0,4,4,cultural theory
46.89166,11.758924,0,1,2,1,4,4,4,6,7,0,7,6,12,13,14,quadrupeds
-36.80634,38.28672,0,1,1,2,0,5,6,5,1,1,8,5,0,5,5,the railroad
-72.099815,-41.97351,0,1,2,1,3,3,3,1,4,7,4,0,5,10,10,this era
87.870995,-0.06786908,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,auto racing
-45.04205,-2.709073,0,1,1,2,0,5,6,5,8,9,8,4,1,5,5,the middle class
33.63713,11.808252,0,1,2,1,4,4,4,6,7,0,7,6,12,7,7,dudsinsuds
12.235085,-96.787636,0,1,1,1,4,1,1,2,0,3,5,7,7,8,8,photography
47.397575,36.412575,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,the Eagles
0.6963094,-58.894325,0,1,1,1,4,4,5,0,8,3,5,7,7,8,8,lithography
41.947525,-30.021803,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,a drink
-47.309044,97.92737,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Denmark
-57.73275,-63.276566,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the current generation
16.79419,-34.918453,0,1,1,1,3,1,1,2,0,3,5,7,7,8,8,contemporary architecture
-29.340326,92.60822,0,0,0,3,1,0,0,4,2,8,2,2,2,2,14,the northern Rockies
66.11106,23.137918,0,1,2,0,2,2,2,3,5,6,10,1,12,7,7,poker
-24.79479,-4.2477956,0,1,1,2,0,5,5,0,8,9,8,1,1,5,6,librarians
-53.137573,-13.053245,0,1,1,2,0,5,6,5,1,1,6,4,4,5,5,Crime
-43.189297,3.8554258,0,1,1,2,4,4,4,6,7,0,7,6,12,5,14,Orientals
5.299204,-9.963119,0,1,1,2,4,4,4,6,7,4,7,5,12,5,7,deception
-8.14587,-27.422554,0,1,1,2,3,5,6,5,1,4,1,5,0,4,4,contemporary critical theory
21.458721,2.6445606,0,1,2,1,4,4,4,6,7,0,7,6,12,7,7,Patchogue
4.0603304,-68.42387,0,1,1,1,3,1,1,2,3,5,3,10,10,1,1,Hollywood zombies
-79.365166,-49.20229,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the 21st century
-14.769469,63.606518,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Third Avenue
-54.354702,83.11039,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,South Africa
-52.73653,36.093636,0,0,0,2,0,5,6,5,1,1,6,4,4,0,0,city government
-12.528533,-70.64559,0,1,1,1,3,1,1,2,3,4,3,10,10,1,1,comics
73.94369,58.68548,0,1,2,0,2,2,2,3,5,6,10,9,12,9,9,trainers
-17.269854,-91.493454,0,1,1,1,3,1,1,2,0,5,0,11,11,12,12,the genre
11.08673,1.9029522,0,1,2,1,4,4,4,6,7,0,7,5,6,7,7,Bellinis day
-8.722269,16.176218,0,1,1,1,3,4,4,6,3,4,1,5,0,4,4,the netherworld
2.9732437,-18.746206,0,1,1,1,4,4,4,6,3,4,1,5,0,4,4,linguistics
48.533787,-19.934505,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,flora
34.10364,-8.523423,0,1,2,1,3,1,1,2,7,5,5,5,0,7,7,this Carousel
47.48484,63.307487,0,1,1,2,4,4,4,5,7,0,7,5,12,5,5,the Shore Association of Nassau Girl Scouts
-76.91449,-35.18765,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the hippie age
-37.764324,-19.31356,0,1,2,2,0,5,5,0,8,9,8,1,1,6,6,American Airlines
-3.055837,-50.432037,0,1,1,2,0,5,6,5,1,1,1,5,0,5,5,the accusations
21.77272,37.74751,0,1,2,1,4,4,4,6,7,0,5,5,0,7,7,knottying adventure
-77.81741,23.236403,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,politics
2.3388975,-77.4746,0,1,1,1,3,1,1,2,3,5,3,10,10,1,1,cinema
41.79421,-86.91286,0,1,1,1,3,1,1,2,0,5,0,11,11,12,12,Italian opera conductors
-25.64915,44.826637,0,0,0,3,1,0,0,7,6,2,8,1,1,3,7,travel arrangements
23.913935,-55.913803,0,1,1,1,3,1,1,2,3,5,3,10,10,1,1,a new reality game show
-10.093282,85.71519,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Philadelphia
-56.889423,-11.385768,0,1,1,2,0,5,6,5,1,1,6,4,4,5,5,hapless lawyers
-62.21238,75.41783,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Ethiopia
71.00863,-63.823433,0,1,1,1,3,1,1,2,0,5,0,11,11,12,12,the dance world
75.90489,-29.97385,0,1,2,1,4,4,4,6,7,0,7,5,0,7,7,the acid set
58.7772,3.033606,0,1,2,1,4,4,4,6,7,0,7,3,3,7,7,solo freestyle clogging
-60.07842,88.540146,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Cuba
-35.5532,-16.198805,0,1,1,2,0,5,5,0,8,9,8,1,1,6,5,Money
64.61375,-83.060844,0,1,2,1,4,1,1,2,0,5,0,11,11,12,12,cocktail jazz piano
2.7007494,-45.13297,0,1,1,2,0,5,5,0,8,9,8,1,1,6,6,management writers
-79.55725,-55.018764,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the digital era
-89.338425,-28.2271,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the 1950s
-8.336869,76.237175,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Woodstown
-58.20012,74.063934,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,Pakistan
20.959194,-48.438892,0,1,2,2,0,5,4,6,7,0,8,1,12,7,7,massive pennystock fraud
5.465033,-71.350914,0,1,1,1,3,1,1,2,3,5,3,10,10,1,1,movie actors
-78.199234,-36.232964,0,1,2,1,3,3,3,1,4,7,4,0,5,10,10,yesteryear
-56.97851,-14.642159,0,1,1,2,0,5,6,5,1,1,6,4,0,5,5,the criminal courtroom
-8.913174,21.641727,0,0,1,2,1,0,6,4,2,8,1,2,2,4,4,the Latin world
-57.307137,-58.4694,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,her generation
64.05933,-45.762234,0,1,1,1,4,1,1,2,3,4,1,5,10,4,4,Chinese kung fu books
22.947218,9.937338,0,1,2,1,4,4,4,6,7,0,7,6,12,7,7,Kathak
8.925127,-5.7066526,0,1,2,1,4,4,4,6,7,0,7,5,12,7,7,Trash
-27.64995,-17.670906,0,1,1,2,0,5,5,0,8,9,8,1,1,6,6,the managerial class
53.66223,-72.91313,0,1,2,1,3,1,1,2,0,5,0,11,11,12,12,Destinys Child
35.415195,13.293265,0,1,2,1,4,4,4,6,7,0,7,5,12,7,7,Pharoahs
52.30592,-87.19409,0,1,1,1,3,1,1,2,0,5,0,11,11,12,12,the vocal world
17.151815,49.574562,0,0,0,3,1,0,0,7,6,2,9,5,0,3,3,the Island
27.844687,-68.65465,0,1,1,1,3,1,1,2,0,5,0,11,11,12,12,cabaret
-18.13128,-93.26215,0,1,2,1,3,1,1,2,0,5,0,11,11,12,12,his genres
84.22254,38.392864,0,1,2,0,2,2,2,3,5,6,10,9,9,11,11,womens softball
2.1438162,25.641182,0,1,1,2,4,4,4,6,7,0,7,6,6,13,13,school lunches
63.37203,50.264847,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,the NFC
-20.143997,-24.982546,0,1,1,2,4,5,5,0,8,9,8,1,1,6,6,advertising
-48.491615,-65.867645,0,1,1,1,3,1,1,2,4,5,0,11,11,12,12,the New York club kids of the 1980s
-62.08793,-12.985149,0,1,1,2,0,5,6,5,1,1,6,4,4,5,5,jurisprudence
22.56878,-30.388693,0,1,2,1,4,4,4,6,7,0,5,7,7,7,7,Paris couture
27.237652,36.32532,0,1,2,1,4,4,4,6,7,4,7,6,12,13,7,flight
-14.983427,75.28334,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Westchester
-51.868397,-29.151907,0,1,1,2,0,3,3,1,4,7,4,0,5,10,5,the Depression
16.634335,-37.078094,0,1,1,2,4,5,5,0,8,3,8,7,7,8,8,Architecture
-16.484032,83.518974,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,New York City
-66.91012,23.55124,0,1,1,2,0,5,6,5,1,1,6,4,4,5,5,fledgling Romanian capitalism
50.58232,-75.901695,0,1,2,1,3,1,1,2,0,5,0,11,11,12,12,hiphop
81.68747,58.24068,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,umpires
72.33923,33.597275,0,1,2,0,2,2,2,3,5,6,10,3,3,11,11,golf
-55.554127,36.84229,0,0,1,2,0,5,6,5,1,1,6,4,4,0,0,local politics
26.182367,48.85268,0,0,0,3,4,4,4,7,6,2,9,8,8,3,3,the docks
-36.416393,47.782093,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,suburbia
-7.2303967,-87.01171,0,1,1,1,3,1,1,2,3,5,3,10,10,1,1,MTV
-84.4389,-22.923399,0,1,1,1,3,3,3,1,4,7,4,0,5,10,10,the 19th century
-63.99816,63.80689,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,Israeli politics
-75.098366,61.75657,0,0,0,3,1,0,0,4,2,8,2,2,2,4,4,Persia in his day
24.232796,-29.469376,0,1,2,1,4,4,4,6,7,0,7,6,6,13,13,mens fragrances
9.372847,-95.33798,0,1,1,1,3,1,1,2,0,3,5,7,7,8,8,digitized art
-16.048988,-44.12495,0,1,1,2,3,5,5,0,3,4,1,10,0,1,1,the Internet
-74.63351,23.24902,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,American Government
2.9371204,-18.5185,0,1,1,1,4,4,4,6,3,4,1,5,0,4,4,language
48.620792,37.828545,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,the Buffalo team
-59.26459,97.17558,0,0,0,3,1,0,0,4,2,8,2,2,2,2,2,country
-87.74096,21.92041,0,1,1,2,0,5,6,5,1,1,6,4,4,0,0,the midterms
14.950507,25.33545,0,1,1,1,4,1,5,0,8,9,8,10,12,6,14,animal talent agencies
14.786653,17.285385,0,1,2,1,4,4,4,6,7,0,7,5,12,5,7,his race
-15.711313,63.30302,0,0,0,3,1,0,0,7,6,2,9,8,8,3,3,Seventh Avenue
76.80268,25.136875,0,1,2,0,2,2,2,3,5,6,10,9,9,9,9,his field
