	label	article	year	article_id	src_wiki_id	sent	annotated	source	modifier	target	full_target_name	trg_wiki_id
47	1	nyt_corpus_1999.har/08/07/1128838.xml	1999.0	1128838.0	Q1744	Ah-Mei, 27, is becoming the Madonna of China.	|Ah-Mei|, 27, is becoming the *Madonna* of /China/.	Madonna	China	Ah-Mei	Ah-Mei	Q713461
48	1	nyt_corpus_2006.har/09/08/1788260.xml	2006.0	1788260.0	Q834621	He is also taken up by Mohammad (Charles Daniel Sandoval), a successful Pakistani businessman who recognizes ''the Bono of Lahore,'' as he hyperbolically calls Ahmad, and offers to help restart his musical career.	He is also taken up by Mohammad (Charles Daniel Sandoval), a successful Pakistani businessman who recognizes ''the *Bono* of /Lahore/,'' as he hyperbolically calls |Ahmad|, and offers to help restart his musical career.	Bono	Lahore	Ahmad	Ahmad Razvi	
49	1	nyt_corpus_1998.har/11/28/1065461.xml	1998.0	1065461.0	Q437088	A friend of hers called her the Brooke Astor of the Park Avenue Chinese.''	A friend of hers called |her| the *Brooke Astor* of /the Park Avenue Chinese/.''	Brooke Astor	the Park Avenue Chinese	her	Aileen Pei	
50	1	nyt_corpus_1999.har/08/09/1129462.xml	1999.0	1129462.0	Q270707	Ms. Mann is shaping up to be the Dorothy Parker of adult pop, although her jiltings have come from the music industry, not callous lovers.	|Ms. Mann| is shaping up to be the *Dorothy Parker* of /adult pop/, although her jiltings have come from the music industry, not callous lovers.	Dorothy Parker	adult pop	Ms. Mann	Aimee Mann	Q239587
51	1	nyt_corpus_2000.har/06/22/1209351.xml	2000.0	1209351.0	Q10993	Al Del Greco, the Tennessee Titans kicker, whom Testaverde describes as ''the Tiger Woods of N.F.L.	|Al Del Greco|, the Tennessee Titans kicker, whom Testaverde describes as ''the *Tiger Woods* of /N.F.L./	Tiger Woods	N.F.L.	Al Del Greco	Al Del Greco	Q13471744
52	1	nyt_corpus_2000.har/03/14/1183782.xml	2000.0	1183782.0	Q9200	He understands how much trouble he's in -- witness his sudden re-emergence as a born-again reformer, the Saul of Tarsus for campaign finance.	|He| understands how much trouble he's in -- witness his sudden re-emergence as a born-again reformer, the *Saul of Tarsus* for /campaign finance/.	Saul of Tarsus	campaign finance	He	Al Gore	Q19673
53	1	nyt_corpus_1995.har/02/19/0744122.xml	1995.0	744122.0	Q1126679	Sometimes, however, Mr. Gore gets carried away in his role as the Scarlet Pimpernel of American diplomacy.	Sometimes, however, |Mr. Gore| gets carried away in his role as the *Scarlet Pimpernel* of /American diplomacy/.	Scarlet Pimpernel	American diplomacy	Mr. Gore	Al Gore	Q19673
54	1	nyt_corpus_1991.har/12/17/0494773.xml	1991.0	494773.0	Q2923786	So in came the new executive producer, Al Harazin, trying to be the Brandon Tartikoff of baseball, turning around his series as Tartikoff overhauled NBC's prime-time schedule.	So in came the new executive producer, |Al Harazin|, trying to be the *Brandon Tartikoff* of /baseball/, turning around his series as Tartikoff overhauled NBC's prime-time schedule.	Brandon Tartikoff	baseball	Al Harazin	Al Harazin	Q4703984
55	1	nyt_corpus_2005.har/07/03/1684667.xml	2005.0	1684667.0	Q208871	Yes, Mr. Dylan in his book, ''Chronicles Volume One,'' lamented Mr. Kooper's status in ''eternal musical limbo'' and suggested he was ''the Ike Turner of the white world'' and should have teamed up with Janis Joplin.	Yes, Mr. Dylan in his book, ''Chronicles Volume One,'' lamented Mr. Kooper's status in ''eternal musical limbo'' and suggested |he| was ''the *Ike Turner* of /the white world/'' and should have teamed up with Janis Joplin.	Ike Turner	the white world	he	AL KOOPER	Q455605
56	1	nyt_corpus_2000.har/08/18/1223401.xml	2000.0	1223401.0	Q589905	An amazing talent, like being the Red Adair of ribbons.	An amazing talent, like being the *Red Adair* of /ribbons/.	Red Adair	ribbons		Al Michaels	Q978633
57	1	nyt_corpus_2003.har/04/07/1478881.xml	2003.0	1478881.0	Q6377737	Then he has settled in -- as ''a permanent house guest, the Kato Kaelin of the wine country,'' in the case of Alan Deutschman -- and tried to figure out what it all means.	Then |he| has settled in -- as ''a permanent house guest, the *Kato Kaelin* of /the wine country/,'' in the case of Alan Deutschman -- and tried to figure out what it all means.	Kato Kaelin	the wine country	he	Alan Deutschman	
58	1	nyt_corpus_1988.har/03/27/0131142.xml	1988.0	131142.0	Q253364	I suppose I'm kind of the Helen Thomas of the New York reporters,'' he said, referring to United Press International's longtime White House correspondent, who always gets the first question at President Reagan's news conferences.	I suppose |I|'m kind of the *Helen Thomas* of /the New York reporters/,'' he said, referring to United Press International's longtime White House correspondent, who always gets the first question at President Reagan's news conferences.	Helen Thomas	the New York reporters	I	Alan Emory	
59	1	nyt_corpus_2002.har/08/22/1417676.xml	2002.0	1417676.0	Q1276	The wry, sexy melancholy of his observations would be seductive enough in its own right -- he is the Leonard Cohen of the spy genre -- even without the sharp political acuity that accompanies it.	The wry, sexy melancholy of his observations would be seductive enough in its own right -- |he| is the *Leonard Cohen* of /the spy genre/ -- even without the sharp political acuity that accompanies it.	Leonard Cohen	the spy genre	he	Alan Furst	Q2830508
60	1	nyt_corpus_2001.har/08/19/1318561.xml	2001.0	1318561.0	Q193156	But if Mr. Hevesi (or for that matter, Mr. Green) stayed on the ballot and allowed Mr. Bloomberg to win the election, as Ms. Hope suggested was possible, he could become known as the Ralph Nader of New York, something that could effectively end his career in his own party.	But if Mr. Hevesi (or for that matter, Mr. Green) stayed on the ballot and allowed Mr. Bloomberg to win the election, as Ms. Hope suggested was possible, |he| could become known as the *Ralph Nader* of /New York/, something that could effectively end his career in his own party.	Ralph Nader	New York	he	Alan G. Hevesi	Q4706864
61	1	nyt_corpus_1994.har/09/10/0711111.xml	1994.0	711111.0	Q51566	Alan King, the Spike Lee of tennis, who attends nearly every day, was in his usual box.	|Alan King|, the *Spike Lee* of /tennis/, who attends nearly every day, was in his usual box.	Spike Lee	tennis	Alan King	Alan King	Q643106
62	1	nyt_corpus_1993.har/05/19/0609956.xml	1993.0	609956.0	Q4535129	These days he is relishing his role as the Sol Hurok of the comedy festival, which he is producing with George Wein, promoter of the Newport Jazz Festival.	These days |he| is relishing his role as the *Sol Hurok* of /the comedy festival/, which he is producing with George Wein, promoter of the Newport Jazz Festival.	Sol Hurok	the comedy festival	he	Alan King	Q643106
63	1	nyt_corpus_2002.har/07/28/1411495.xml	2002.0	1411495.0	Q369675	The tens of thousands of songs Lomax recorded himself -- across the United States and in rural Italy, the Caribbean, Great Britain and Spain -- and the many others he worked to analyze and disseminate made him the Johnny Appleseed of folk revivalists.	The tens of thousands of songs Lomax recorded himself -- across the United States and in rural Italy, the Caribbean, Great Britain and Spain -- and the many others he worked to analyze and disseminate made |him| the *Johnny Appleseed* of /folk revivalists/.	Johnny Appleseed	folk revivalists	him	Alan Lomax	Q558104
64	1	nyt_corpus_2004.har/07/15/1596883.xml	2004.0	1596883.0	Q10993	He would be the Tiger Woods of track.	|He| would be the *Tiger Woods* of /track/.	Tiger Woods	track	He	Alan Webb	Q1429956
65	1	nyt_corpus_2003.har/04/11/1479837.xml	2003.0	1479837.0	Q1771239	I would say he is the Robert Trent Jones of tracks.''	I would say |he| is the *Robert Trent Jones* of /tracks/.''	Robert Trent Jones	tracks	he	Alan Wilson	Q4708081
66	1	nyt_corpus_2002.har/04/15/1384330.xml	2002.0	1384330.0	Q7311	Calling Berg ''the Puccini of serial music'' is not meant as a compliment.	Calling |Berg| ''the *Puccini* of /serial music/'' is not meant as a compliment.	Puccini	serial music	Berg	Alban Berg	Q78475
67	1	nyt_corpus_2004.har/11/16/1627639.xml	2004.0	1627639.0	Q231417	I'll be like the Barbara Walters of Barneys today,'' he said.	|I|'ll be like the *Barbara Walters* of /Barneys today/,'' he said.	Barbara Walters	Barneys today	I	Alber Elbaz	Q1362757
68	1	nyt_corpus_1998.har/11/08/1060522.xml	1998.0	1060522.0	Q25089	You might call Mr. Elbaz, 37, the Woody Allen of fashion, so self-deprecating is his humor.	You might call |Mr. Elbaz|, 37, the *Woody Allen* of /fashion/, so self-deprecating is his humor.	Woody Allen	fashion	Mr. Elbaz	Alber Elbaz	Q1362757
69	1	nyt_corpus_1998.har/11/01/1058760.xml	1998.0	1058760.0	Q79031	He doesn't always get along with his teammates, let alone the news media, and one physician who has dealt with players, though not Belle, calls him the Mike Tyson of baseball.	He doesn't always get along with his teammates, let alone the news media, and one physician who has dealt with players, though not Belle, calls |him| the *Mike Tyson* of /baseball/.	Mike Tyson	baseball	him	ALBERT BELLE	Q2422798
70	1	nyt_corpus_2001.har/11/02/1339281.xml	2001.0	1339281.0	Q155626	Armstrong, for example, is featuring pictures of fashionable, late-19th-century beauties by Albert Belleroche, a virtuoso technician who was known as the John Singer Sargent of lithography.	Armstrong, for example, is featuring pictures of fashionable, late-19th-century beauties by |Albert Belleroche|, a virtuoso technician who was known as the *John Singer Sargent* of /lithography/.	John Singer Sargent	lithography	Albert Belleroche	Albert Belleroche	Q20051236
