pca_x,pca_y,tsne_x,tsne_y,pca_tsne_x,pca_tsne_y,umap_x,umap_y,ivis_x,ivis_y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,label,count
0.25582153,0.37024608,0.07738981,0.3225299,0.1314232,0.4763623,0.77370566,0.11451915,0.4178243,0.42728657,0,1,0,1,3,4,4,5,5,0,7,10,4,13,11,adult pop,1
0.39260066,0.38590604,0.60456914,0.70283794,0.49726948,0.31891155,0.43930274,0.6644864,0.64240205,0.50964946,0,1,0,1,2,3,3,1,6,8,10,5,5,5,10,N.F.L.,1
0.4107726,0.7029083,0.46578363,0.86943585,0.5021411,0.13289207,0.27951425,0.6279734,0.7281691,0.08331472,0,1,2,2,0,5,5,2,3,6,6,6,6,6,6,campaign finance,1
0.4741023,0.7751677,0.5286103,0.8424695,0.42895806,0.15560785,0.30608577,0.68322486,0.62431484,0.21002534,0,1,2,2,0,5,5,2,3,6,6,6,6,6,6,American diplomacy,1
0.43830252,0.10883668,0.9386445,0.45544216,0.792132,0.804446,0.14948076,0.16425121,0.9112748,0.55411375,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,baseball,16
0.45636562,0.7171141,0.29814327,0.64107317,0.5655368,0.36523867,0.43836564,0.718292,0.4432296,0.4714498,0,1,2,2,0,5,5,2,3,9,1,9,9,9,1,the white world,1
0.2773667,0.24149889,0.53715444,0.3202026,0.4089463,0.6498037,0.7662992,0.42042753,0.4307106,0.5603978,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,ribbons,1
0.7908596,0.5130872,0.6252479,0.1760394,0.934252,0.16331425,0.8917628,0.69024754,0.41565883,0.86763656,0,0,1,3,4,2,2,6,7,2,5,2,2,2,13,the wine country,1
0.42927095,0.55536914,0.3290157,0.43624234,0.21466306,0.5527153,0.49433273,0.18592723,0.6929323,0.32094327,0,1,2,2,0,5,5,2,3,5,9,5,5,5,5,the New York reporters,1
0.10457018,0.6080537,0.18072727,0.47729334,0.10739297,0.57685465,0.47290856,0.2955007,0.34051603,0.18035333,0,1,2,1,3,4,4,5,4,9,9,0,0,0,1,the spy genre,1
0.98998916,0.48266217,0.8363834,0.6915891,0.89169014,0.2906557,0.65958947,0.885412,0.5577661,0.94983435,0,0,1,3,4,2,2,4,2,3,4,3,3,3,4,New York,7
0.3717084,0.0,0.8452717,0.36153024,0.6884049,0.7931602,0.28503388,0.18305852,0.7881055,0.629503,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,tennis,16
0.3328618,0.44049215,0.20164162,0.32222718,0.67547524,0.3893023,0.57803935,0.11123734,0.4693696,0.52574325,0,1,0,1,3,4,4,5,4,0,9,0,0,0,7,the comedy festival,1
0.27453753,0.39765102,0.08483875,0.2618342,0.29879573,0.8735248,0.8133704,0.10240169,0.3901859,0.5245583,0,1,0,1,3,4,4,5,5,0,7,10,4,13,11,folk revivalists,1
0.36833516,0.13489935,0.8449559,0.22004181,0.6253112,0.91213787,0.9811303,0.38957164,0.8521601,0.63223225,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,track,1
0.35027203,0.1919463,0.8434677,0.21890032,0.62368315,0.91714126,0.978717,0.39429927,0.64680064,0.65983546,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,tracks,1
0.111643076,0.3706935,0.12863967,0.19833183,0.35130855,0.83782995,0.78385943,0.052704066,0.28812,0.41179496,0,1,0,1,3,4,4,5,5,0,7,10,4,13,11,serial music,1
0.50130576,0.39619687,0.300261,0.79424596,0.4482345,0.3832634,0.048701584,0.4500671,0.6504548,0.61092275,0,1,0,1,2,3,3,4,2,3,4,3,3,3,4,Barneys today,1
0.2257889,0.49675614,0.47426948,0.335993,0.32881862,0.55829275,0.732706,0.37598538,0.19418421,0.37140995,0,1,0,1,2,4,4,5,4,7,9,7,7,7,14,fashion,9
0.19706203,0.41073823,0.3062486,0.1927832,0.19351882,0.784598,0.6760971,0.27333125,0.037788928,0.22597344,0,1,0,1,2,3,6,3,1,7,3,7,7,7,14,lithography,1
0.19869423,0.74362415,0.18656597,0.84020317,0.22892794,0.15619245,0.12809521,0.6183001,0.57573736,0.19717556,0,1,2,1,3,0,0,7,0,4,8,4,12,4,8,the 20th century,5
0.23710555,0.39765102,0.6227751,0.3752679,0.5018362,0.6806509,0.7702784,0.5088184,0.22584417,0.4376208,0,1,0,1,2,3,3,1,6,8,0,9,9,9,0,science,3
0.89880306,0.57114094,0.76293224,0.74867225,0.9550141,0.38139707,0.56114644,0.87883687,0.5090146,0.8982604,0,0,1,3,4,2,2,6,7,2,5,2,2,2,13,the South,3
0.55984765,0.7271812,0.49199077,0.68509066,0.47588047,0.2759875,0.49342138,0.5904621,0.6985586,0.20665507,0,1,2,2,0,5,5,2,3,6,6,5,5,5,5,the Justice Department,1
0.35571274,0.4391499,0.4315304,0.19440195,0.32923287,0.6421979,0.76687676,0.3247616,0.2102027,0.38873723,0,1,0,1,2,3,6,3,1,5,3,11,11,11,3,antiques collectors,1
0.51447225,0.07885909,0.75944483,0.1949412,0.60741806,0.871876,0.32481414,0.1306184,0.7275021,0.8051069,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,skiing,2
0.3767138,0.39306486,0.5823828,0.517344,0.59490263,0.49481252,0.3997664,0.46083054,0.7089701,0.46540853,0,1,0,0,2,3,3,1,6,8,1,5,5,5,5,losers,1
0.7207835,0.41979864,0.8227571,0.91554,0.9632015,0.21285942,0.4516899,0.99929994,0.46447802,0.9130819,0,0,1,3,4,2,2,4,2,3,4,3,3,3,4,Leningrad,1
0.25048965,0.41498882,0.15254334,0.21816519,0.3238873,0.9888723,0.80569416,0.019323677,0.2079696,0.5134374,0,1,0,1,3,4,4,5,5,0,7,10,4,13,11,Italian opera conductors,1
0.22393906,0.2450783,0.18914291,0.11393073,0.4200298,0.9822396,0.8485809,0.06513134,0.35354733,0.61207855,0,1,0,1,2,4,4,5,5,0,7,10,4,13,11,percussionists,1
0.34874862,0.62393737,0.09179059,0.6398019,0.63079023,0.36242598,0.25947648,0.47699863,0.6739267,0.35140198,0,1,2,2,0,5,5,2,3,6,1,5,5,5,5,the Rotary Club crowd,1
0.33786726,0.41621923,0.13021952,0.31399333,0.58585703,0.66956633,0.29287702,0.44187406,0.6351517,0.47801548,0,1,0,1,3,4,3,5,5,0,7,5,10,10,5,the 911 band,1
0.337432,0.4592841,0.27590162,0.9312929,0.2053431,0.08152655,0.04856038,0.65715396,0.78270155,0.34428266,0,1,0,1,3,0,0,7,0,4,8,4,12,12,8,the 60's,1
0.21142547,0.50525725,0.06500518,0.43616265,0.1931532,0.60950017,0.48661798,0.10701459,0.42350858,0.22684757,0,1,0,1,3,4,4,5,4,9,9,0,0,0,7,television,5
0.4289445,0.596868,0.37635833,0.869551,0.362864,0.15478417,0.35205323,0.67726946,0.67323065,0.30989033,0,1,2,2,0,5,5,2,3,6,1,6,6,6,1,the Mexican War,1
0.20174102,0.6291946,0.40475592,0.021372855,0.073093295,0.42352572,0.3240953,0.35798132,0.470897,0.19426179,0,1,2,1,2,3,3,1,6,9,1,9,9,9,12,the self-help set,1
0.485963,0.11935124,0.94102776,0.3983059,0.7012644,0.8185158,0.2545858,0.18131433,0.8194948,0.6214124,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,soccer,6
0.22546245,0.35111856,0.17460269,0.777176,0.2327087,0.2205275,0.09862268,0.52366686,0.87322485,0.3335988,0,1,0,1,3,0,0,7,0,4,8,4,12,12,9,his era,8
0.5693145,0.75805366,0.46254873,0.70521426,0.5129016,0.20499489,0.5284007,0.66274226,0.6902158,0.3041793,0,1,2,2,0,5,5,2,3,6,6,6,6,6,6,the Senate,4
0.32992384,0.40033555,0.36506093,0.300809,0.18783915,0.7839469,0.73704475,0.27688846,0.10296491,0.44186518,0,1,0,1,2,3,3,1,4,7,9,7,7,7,14,35-millimeter photography,1
0.63384116,0.6852349,0.47028753,0.7491218,0.5744034,0.102865666,0.55012006,0.72252625,0.8136945,0.4409522,0,0,2,2,0,5,5,2,3,6,6,6,6,6,6,Jersey City politics,1
0.3890098,0.5720358,0.55322415,0.093636304,0.7916224,0.44887882,0.99392825,0.6451742,0.23233083,0.59759706,0,1,2,1,3,4,4,5,4,8,0,8,8,8,0,contemporary American cooking,1
0.414037,0.5813199,0.6087707,0.6877061,0.5053165,0.2995878,0.44418055,0.6630635,0.575312,0.39312735,0,1,2,2,0,5,5,2,3,9,1,5,5,5,5,the W.B.L.,1
0.8445049,0.4551454,0.8250387,0.7129313,0.9167506,0.2806354,0.66744536,0.89979,0.43334007,0.9849745,0,0,1,3,4,2,2,4,2,3,4,3,3,3,4,"Berkeley, Calif.",1
0.22121872,0.7589485,0.15514615,0.7177828,0.23370731,0.1712406,0.16743898,0.50689065,0.67926294,0.18520962,0,1,2,1,3,0,0,7,0,4,8,4,12,4,9,the hippie age,1
0.3915125,0.10324386,0.92836475,0.33209178,0.72023994,0.88032997,0.23422712,0.14178342,0.8026449,0.70242524,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,women's squash,1
0.3850925,0.60570467,0.3938819,0.66076374,0.6002432,0.32053882,0.387623,0.5110101,0.46251556,0.22738175,0,1,2,2,0,5,6,3,1,5,3,11,5,5,3,working mothers,1
0.218716,0.29284117,0.7994312,0.1295836,0.44656882,0.73723304,0.8360011,0.40323818,0.42621538,0.54354644,0,1,0,1,2,3,3,1,6,7,10,8,10,10,10,the Lathe,1
0.3352557,0.36565995,0.2638238,0.78934073,0.2581077,0.25572455,0.054709077,0.4720759,0.6973502,0.35874474,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,her day,13
0.25603917,0.38736016,0.22257039,0.323252,0.4829063,0.57451344,0.61426383,0.12824309,0.5016386,0.42371234,0,1,0,1,2,3,3,1,4,9,9,9,0,9,12,stand-up,2
0.579543,0.81051457,0.51035655,0.83633006,0.44178644,0.16251168,0.30471224,0.67558265,0.5691637,0.27434218,0,1,2,2,0,5,5,2,3,6,6,6,6,6,6,geopolitics,2
0.39749727,0.64586127,0.24803296,0.5746058,0.18597537,0.45625222,0.6005288,0.3310039,0.40885317,0.28864884,0,1,2,1,3,3,6,3,4,9,9,9,9,9,12,the Internet,4
0.36213276,0.19183445,0.9449285,0.40119952,0.69882184,0.81871074,0.2352156,0.19667917,0.8603482,0.5116017,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,football,8
0.5797606,0.63008946,0.5304531,0.611382,0.48584595,0.24917965,0.52659076,0.56628454,0.5842831,0.28694916,0,1,2,2,0,5,5,2,3,5,6,5,5,5,5,relief agencies,1
0.30359086,0.5108501,0.25533643,0.38267753,0.2534392,0.7707511,0.6334415,0.1737065,0.33354598,0.34566185,0,1,0,1,3,4,4,5,4,0,9,0,0,0,7,Bollywood,1
0.2775843,0.43400446,0.25678575,0.37907067,0.25101414,0.7708848,0.6319397,0.16576588,0.26152566,0.3635816,0,1,0,1,3,4,4,5,4,0,9,0,0,0,7,Indian movie stars,1
0.6404788,0.5106264,0.80209875,0.6826092,0.7843523,0.3526055,0.69297713,0.85418886,0.36932415,0.65284234,0,0,1,3,4,2,2,4,2,3,4,3,3,3,4,Silicon Valley,1
0.35897714,0.64720356,0.30169392,0.43065828,0.196953,0.57571137,0.47849244,0.1470848,0.5059211,0.14573762,0,1,2,2,0,5,5,2,4,9,9,0,0,0,7,television news,2
0.2796518,0.16353467,0.84580314,0.3304699,0.69844216,0.8413259,0.28654867,0.17987998,0.7542801,0.5184782,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,his sport,3
0.49477693,0.11599553,0.83945346,0.3571997,0.6814814,0.78660715,0.27633077,0.19405143,0.7678431,0.74731684,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,the tennis field,1
0.6775843,0.5833333,0.7227546,0.6296091,0.75691247,0.30793005,0.66223377,0.77057153,0.49012497,0.7017939,0,0,1,3,4,2,2,4,2,3,4,3,3,3,4,the ghetto,1
0.28770402,0.12259507,0.3840149,0.061117172,0.0010126233,0.42235178,0.3154692,0.342364,0.7398857,0.6231121,0,1,0,0,1,1,1,0,8,1,2,1,10,10,2,the running set,1
0.46028292,0.4167785,0.6999223,0.39361537,0.6879786,0.64456594,0.7784553,0.6091776,0.48527205,0.6701988,0,1,0,1,2,3,3,1,6,8,10,8,10,10,10,sunken ships,1
0.31044614,0.77829975,0.36811602,0.66401684,0.36388516,0.101493865,0.38989514,0.5062251,0.5195228,0.1864237,0,1,2,2,0,5,5,2,3,9,1,9,9,9,12,feminism,2
0.32535365,0.5572707,0.6164637,0.12273145,0.55268484,0.49824718,0.9556114,0.63752043,0.2840018,0.5153022,0,1,2,1,2,3,3,1,6,8,1,8,8,8,0,this food-phobic crowd,1
0.4256801,0.87617445,0.47222397,0.5395328,0.37634343,0.32447082,0.5447543,0.5451937,0.44757015,0.2295671,0,1,2,2,0,5,5,2,3,6,1,9,9,9,12,Communism,2
0.4695321,0.47662193,0.81199366,0.6464337,0.56584424,0.63278085,0.6746338,0.7959195,0.5446188,0.6093493,0,1,0,1,3,3,3,1,5,0,1,5,10,10,5,the lower fifth,1
0.8963003,0.50794184,0.75889647,0.82169527,0.85573983,0.13547283,0.45475787,0.93274575,0.40335256,0.9280101,0,0,1,3,4,2,2,6,7,2,5,2,2,2,13,Australia,2
0.34537542,0.6712528,0.3042001,0.8920977,0.26876235,0.130629,0.14877474,0.6735171,0.61385494,0.32329372,0,1,2,1,3,0,0,7,0,4,8,4,12,12,8,the 19th century,7
0.30054408,0.34440714,0.23108563,0.7652228,0.24563289,0.23588091,0.076300025,0.49569118,0.9296327,0.3257413,0,1,0,1,3,0,0,7,0,4,8,4,12,12,9,his time,35
0.36909685,0.50234896,0.24219972,0.25473142,0.24138871,0.65539455,0.6338652,0.091121905,0.6366308,0.45304438,0,1,2,1,3,4,4,4,2,0,4,0,0,0,7,Fon's New York program,1
0.21730141,0.62472034,0.51396245,0.6031862,0.44349575,0.3008753,0.5213919,0.56188965,0.38780776,0.15568331,0,1,2,2,0,3,6,3,1,5,3,9,9,9,12,agenting,1
0.8021763,0.46800894,0.8251259,0.91551447,0.96179163,0.21690646,0.4489557,0.99689025,0.46522236,0.9291562,0,0,1,3,4,2,2,4,2,3,4,3,3,3,4,Moscow,2
0.84940153,0.33668905,0.8102863,0.80885476,0.90357965,0.18794814,0.5492471,0.928305,0.48129886,0.9692595,0,0,1,3,4,2,2,4,2,3,4,3,3,3,4,mid-Yorkshire,1
0.51947767,0.28937358,0.8533412,0.7444068,0.52204853,0.5339694,0.62821704,0.9355227,0.7333314,0.7458211,0,1,0,0,2,3,3,1,6,8,10,8,8,8,10,Mayberry,1
0.16920565,0.5043624,0.20739514,0.30880994,0.31192857,0.6903554,0.59142774,0.10276889,0.43567955,0.3510912,0,1,0,1,3,4,4,5,4,9,9,0,0,0,7,comedy,3
0.31349292,0.52125275,0.34708464,0.27149972,0.13363108,0.764083,0.7673388,0.26168427,0.12369129,0.45387968,0,1,0,1,3,4,4,5,4,7,9,7,7,7,14,American art,2
0.34537542,0.42315435,0.5540046,0.5154095,0.44909167,0.47764835,0.43505377,0.4430789,0.5129878,0.37186646,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,nothing,1
0.57910776,0.116107374,0.9457767,0.29295546,0.72580326,0.8877268,0.24806482,0.14203587,0.881935,0.70233774,0,0,0,0,1,1,1,0,8,1,2,1,1,1,2,"River Vale, N.J., girls sports",1
0.2390642,0.4795302,0.2086313,0.55616564,0.47970486,0.6229019,0.63025814,0.2592057,0.42899954,0.3243621,0,1,0,1,3,3,3,1,4,9,9,9,0,0,7,the small screen,2
0.281284,0.61901563,0.121065766,0.2823714,0.38000983,0.859573,0.7643607,0.12795621,0.37235963,0.47603413,0,1,2,1,3,4,4,5,5,0,7,10,4,13,11,the black music world,1
0.31284004,0.5504474,0.35491508,0.6393007,0.4680687,0.45158657,0.41934198,0.48901278,0.49325714,0.16581357,0,1,2,2,0,3,3,1,6,9,10,9,9,9,12,sexual harassment,1
0.39183897,0.25492167,0.8788595,0.8972519,0.5852847,0.5527541,0.47364026,0.8057649,0.39413008,0.7036684,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,grappa,1
0.52230686,0.75973153,0.6935497,0.98572046,0.5259361,0.095547885,0.3890223,0.93704885,0.6854789,0.23979448,0,1,2,2,0,5,5,2,3,6,6,6,6,6,6,Danish politics,1
0.37214363,0.74977624,0.48672086,0.8403381,0.47336313,0.13343117,0.29602188,0.67122215,0.6901965,0.15031224,0,1,2,2,0,5,5,2,3,6,6,6,6,6,6,political invective,1
0.371926,0.6893736,0.3121401,0.41716653,0.18205667,0.54737693,0.50103325,0.19072372,0.36343685,0.13477206,0,1,2,2,0,5,6,2,4,9,9,0,0,0,12,newspapers,1
0.3422198,0.39261743,0.58347654,0.6139464,0.47380602,0.5033436,0.38196212,0.43415147,0.61259824,0.35604462,0,1,0,1,2,3,3,1,6,8,10,8,8,8,10,Decision,1
0.3015234,0.38422817,0.22974986,0.7579361,0.25687087,0.25152707,0.075452805,0.4937404,0.82804054,0.2889791,0,1,0,1,2,0,0,7,0,4,8,4,12,12,9,her time,14
0.2898803,0.36554807,0.15712744,0.23211905,0.31056535,0.99462223,0.80713195,0.015410766,0.28090832,0.4836391,0,1,0,1,3,4,4,5,5,0,7,10,4,13,11,opera,4
0.29651797,0.36666667,0.1279225,0.31194633,0.5855235,0.6639093,0.30156738,0.4446395,0.5258451,0.52679217,0,1,0,1,3,4,4,5,5,0,7,10,4,13,5,the band,1
0.5006529,0.4543624,0.32915115,0.90810585,0.2761799,0.104689896,0.15243316,0.6874591,0.50196725,0.6618945,0,0,0,1,2,3,3,1,2,7,10,8,8,8,1,14th-century Windsor,1
0.34537542,0.45402685,0.27806067,0.66253823,0.53202057,0.3756859,0.60111934,0.5999403,0.47143835,0.48414415,0,1,0,1,3,3,3,1,6,9,1,9,9,9,12,the spirit realm,1
0.22089227,0.5163311,0.22913426,0.34469053,0.2777533,0.7311678,0.62467426,0.15345336,0.38737273,0.28052914,0,1,0,1,3,4,4,5,4,0,9,0,0,0,7,actresses,1
0.39118606,0.21241611,0.08284652,0.2115756,0.38478115,0.8969177,0.82593733,0.072624415,0.41898435,0.6674404,0,1,0,1,3,4,4,5,5,0,7,10,4,13,11,jazz,9
0.22372143,0.30525726,0.5203331,0.302931,0.44063234,0.7088737,0.77685064,0.40055305,0.27327126,0.4942938,0,1,0,1,2,3,3,1,6,7,10,7,7,7,14,weaving,1
0.14711642,0.4240492,0.1390605,0.42570361,0.40378425,0.84127176,0.45736367,0.30971807,0.30047464,0.42007983,0,1,0,1,3,4,4,5,5,0,7,10,4,13,11,her particular genre,1
0.3273123,0.14630872,0.8471235,0.3266135,0.6943193,0.8412713,0.2939039,0.17722929,0.7228425,0.5772103,0,1,0,0,1,1,1,0,8,1,2,1,1,1,2,her sport,3
