sent	tags	final_label	final_annotation
For nearly a halfcentury the Eldorado has been the Cadillac of Cadillacs the most overthetop Caddy of them all	['O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	For nearly a halfcentury |the Eldorado| has been the *Cadillac* of /Cadillacs/ the most overthetop Caddy of them all
Frick Collection Jeantienne Liotard 17021789 Swiss MasteR Liotard is something of a specialty item now but he was widely known in the Enlightenment Europe of his day	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	0	Frick Collection Jeantienne Liotard 17021789 Swiss MasteR Liotard is something of a specialty item now but he was widely known in the Enlightenment Europe of his day
From MacArthur a Bonanza in Business Travel	['O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD']	0	From MacArthur a Bonanza in Business Travel
He declared I helped facilitate a rock n roll record that became a political statement a Magna Carta for the dispossessed	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'I-SRC', 'O', 'O', 'I-MOD']	1	He declared I helped facilitate |a rock n roll record| that became a political statement a *Magna Carta* for /the dispossessed/
He is in short the contemporary Reverend Dimmesdale of rock	['B-TRG', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	|He| is in short the /contemporary/ *Reverend Dimmesdale* of /rock/
I have come to appreciate far better what my mother and countless others like her the many Mrs Bemises of the world have gone through	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O']	0	I have come to appreciate far better what my mother and countless others like her the many Mrs Bemises of the world have gone through
I landed on the Royal Pacific cruise ship in the Caribbean which like the Highlander is a Feadship the Rolls of yachts	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD']	1	I landed on |the Royal Pacific cruise ship| in the Caribbean which like the Highlander is a Feadship the *Rolls* of /yachts/
I splurged and bought my wife a Taco Bell Taco Supreme the Gelaendewagen of Mexican fast food	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'I-TRG', 'I-TRG', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD']	1	I splurged and bought my wife a |Taco Bell Taco Supreme| the *Gelaendewagen* of /Mexican fast food/
I think of us as the garage bands of the year 2000 Eva Ilona Brzeski said over a cup of coffee	['O', 'O', 'O', 'B-TRG', 'O', 'O', 'B-SRC', 'O', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	I think of us as the garage bands of the year 2000 Eva Ilona Brzeski said over a cup of coffee
If West led from jackdoubleton of diamonds declarer would have 2740 distribution	['O', 'B-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O']	0	If West led from jackdoubleton of diamonds declarer would have 2740 distribution
If you start being a Chatty Cathy in the morning thats a breach of the code	['O', 'B-TRG', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	If you start being a Chatty Cathy in the morning thats a breach of the code
In a sense its a Cinderella stock in an industry littered with disappointments said Kenneth M Gassman Jr an analyst with Davenport Company of Virginia Inc one of three small regional securities firms that follow the Richmondbased company	['O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'O', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	In a sense |its| a *Cinderella* /stock/ in an industry littered with disappointments said Kenneth M Gassman Jr an analyst with Davenport Company of Virginia Inc one of three small regional securities firms that follow the Richmondbased company
In Arkansas at an open house at the campaign headquarters for Ms Lambert Hugh Atwood described himself as a loyal Democrat but added Im a Rush Limbaugh on health care	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	1	In Arkansas at an open house at the campaign headquarters for Ms Lambert Hugh Atwood described himself as a loyal Democrat but added |Im| a *Rush Limbaugh* on /health care/
Indeed Mr Rock called the show the Harvard of comedy	['O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'B-SRC', 'O', 'B-MOD']	1	Indeed Mr Rock called |the show| the *Harvard* of /comedy/
is the RollsRoyce of computer hardware said Irwin Kaufman director of the office of technology for the New York City Board of Education which has more than 50000 microcomputers installed in the schools	['O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	is the *RollsRoyce* of /computer hardware/ said Irwin Kaufman director of the office of technology for the New York City Board of Education which has more than 50000 microcomputers installed in the schools
It has become a different world in the 20 years since Windows first opened said Joseph Baum the softspoken Barnum of the restaurant world who was in charge of creating Windows I in 1976 and who won in a hotly contested competition among prominent restaurateurs two years ago the contract to develop Windows II	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	It has become a different world in the 20 years since Windows first opened said |Joseph Baum| the softspoken *Barnum* of /the restaurant world/ who was in charge of creating Windows I in 1976 and who won in a hotly contested competition among prominent restaurateurs two years ago the contract to develop Windows II
It is interesting that a shy quiet type like Beltran labeled as the It Player of free agency has chosen Boras to be his bouncer	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	It is interesting that a shy quiet type like Beltran labeled as the It Player of free agency has chosen Boras to be his bouncer
It wants to be a sort of Paradise Lost of the vampire kingdom detailing the genesis of these creatures their fall from grace and their precarious fate in the world at large in the past the present and the future	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	|It| wants to be a sort of *Paradise Lost* of /the vampire kingdom/ detailing the genesis of these creatures their fall from grace and their precarious fate in the world at large in the past the present and the future
It was the first item produced by the family business Deep Foods which Arvind Amin 61 laughingly calls the FritoLay HagenDazs and Stouffers of Indian food	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'B-TRG', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'O', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	1	It was the first item produced by the family business |Deep Foods| which Arvind Amin 61 laughingly calls the *FritoLay* *HagenDazs* and *Stouffers* of /Indian food/
Its like the Hello Kitty of mayonnaise	['O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	|Its| like the *Hello Kitty* of /mayonnaise/
Jerry Gitner chairman of Tribeca Aviation a consulting and investment firm calls them the Tweedledee and Tweedledum of the industry	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'I-SRC', 'O', 'B-MOD', 'I-MOD']	1	Jerry Gitner chairman of Tribeca Aviation a consulting and investment firm calls |them| the *Tweedledee and Tweedledum* of /the industry/
Ken Kesey novelist and Pied Piper of psychedelic era dies at age 66 photos M	['B-TRG', 'I-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O']	1	|Ken Kesey| novelist and *Pied Piper* of /psychedelic era/ dies at age 66 photos M
Lebanon is a very proper country and before the war it was considered the Paris of the East	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD']	1	Lebanon is a very proper country and before the war |it| was considered the *Paris* of /the East/
Making a Difference Altuss Mozart of Finance	['O', 'O', 'O', 'B-TRG', 'B-SRC', 'O', 'B-MOD']	1	Making a Difference Altuss *Mozart* of /Finance/
Mr Caiola the Dr Doolittle of the Hamptons started his collection the usual way	['B-TRG', 'I-TRG', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O']	1	|Mr Caiola| the *Dr Doolittle* of /the Hamptons/ started his collection the usual way
Mr Mapes said NBC had invited any company to create a RollsRoyce of rating services to compete with Nielsen	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O']	1	Mr Mapes said NBC had invited any company to create a *RollsRoyce* of /rating services/ to compete with Nielsen
My favorite couple are the Rachels Vogelstein of Washington	['O', 'O', 'O', 'O', 'O', 'O', 'I-SRC', 'O', 'B-MOD']	0	My favorite couple are the Rachels Vogelstein of Washington
Not a Tennis White in the House	['O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O']	0	Not a Tennis White in the House
On that evidence Mr Kentridge belongs in the inflammatory company of such artistprovocateurs as the Goya of the etchings the satirists of the Weimar Republic and the contemporary black American Kara Walker whose scandalous paper cutouts air the dirty laundry of the antebellum South with wicked glee	['O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	On that evidence Mr Kentridge belongs in the inflammatory company of such artistprovocateurs as the Goya of the etchings the satirists of the Weimar Republic and the contemporary black American Kara Walker whose scandalous paper cutouts air the dirty laundry of the antebellum South with wicked glee
On the night of this air attack one of DeWitts subordinates Maj Gen Joseph W Stilwell later to be the famous Vinegar Joe of the doomed campaigns in Burma and China wrote in pencil in a dimestore notebook that he used as a diary Fourth Army obviously meaning its headquarters kind of jittery	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'I-TRG', 'I-TRG', 'I-TRG', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'I-MOD', 'I-MOD', 'I-MOD', 'I-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	On the night of this air attack one of DeWitts subordinates Maj Gen Joseph W Stilwell later to be the famous Vinegar Joe of the doomed campaigns in Burma and China wrote in pencil in a dimestore notebook that he used as a diary Fourth Army obviously meaning its headquarters kind of jittery
Once Stolid and BigShouldered Now a Cinderella on the Lake	['O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'I-MOD']	1	Once Stolid and BigShouldered Now a *Cinderella* on /the Lake/
Peter Marks reviews musical Sweeney Todd the Demon Barber of Fleet Street presented at Ahmanson Theater in Los Angeles under direction of Calvin Remsberg is based on book by Hugh Wheeler with music and lyrics by Stephen Sondheim photo M	['O', 'O', 'O', 'O', 'B-TRG', 'I-TRG', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	Peter Marks reviews musical Sweeney Todd the Demon Barber of Fleet Street presented at Ahmanson Theater in Los Angeles under direction of Calvin Remsberg is based on book by Hugh Wheeler with music and lyrics by Stephen Sondheim photo M
Positioning itself as the latest reality show the XFL wanted the pyrotechnics of Survivor but the casts lack of showbiz charisma made it the deadly Big Brother of sports	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	Positioning itself as the latest reality show the XFL wanted the pyrotechnics of Survivor but the casts lack of showbiz charisma made |it| the deadly *Big Brother* of /sports/
Puebla is the Lyon of Mexico the city that the locals invariably bring up when a conversation turns to their countrys cuisine	['B-TRG', 'O', 'O', 'B-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	|Puebla| is the *Lyon* of /Mexico/ the city that the locals invariably bring up when a conversation turns to their countrys cuisine
s for more than two months last summer the State Senate early this morning narrowly passed a Rube Goldbergtype of budget meant to get the recessionracked state government through another year	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	s for more than two months last summer the State Senate early this morning narrowly passed a *Rube Goldbergtype* of /budget/ meant to get the recessionracked state government through another year
She was a Richard Harding Davis in evening gown said one reporter watching her make news wherever she turned up	['B-TRG', 'O', 'O', 'B-SRC', 'I-SRC', 'I-SRC', 'O', 'B-MOD', 'I-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	|She| was a *Richard Harding Davis* in /evening gown/ said one reporter watching her make news wherever she turned up
Silvio Berlusconi hailed by many here as a kind of Ross Perot of Italy kicked off his election campaign last weekend at a large rally in Rome with flare and pomp clearly aimed at suggesting an American nominating convention	['B-TRG', 'I-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	1	|Silvio Berlusconi| hailed by many here as a kind of *Ross Perot* of /Italy/ kicked off his election campaign last weekend at a large rally in Rome with flare and pomp clearly aimed at suggesting an American nominating convention
So its not altogether surprising that that most venerable publisher of art books Harry N Abrams Inc in partnership with the Wonderland Press has created a sort of Cliff Notes of art	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TRG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	So its not altogether surprising that that most venerable publisher of art books Harry N Abrams Inc in partnership with the Wonderland Press has created a sort of *Cliff Notes* of /art/
Sontag calls it the Don Quixote in me	['O', 'O', 'B-TRG', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD']	1	Sontag calls |it| the *Don Quixote* in /me/
South was Emily Seiden of Manhattan and whether she would have found this brilliant play will never be known	['B-TRG', 'O', 'B-SRC', 'I-SRC', 'O', 'B-MOD', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	0	South was Emily Seiden of Manhattan and whether she would have found this brilliant play will never be known
